num,player,season,time,reb,ast,ste,blo,tov,ppg,win,lose,win_rate,
5023,Cliff Pondexter,1977.000000,12.100000,3.000000,2.000000,0.400000,0.300000,0.700000,2.000000,27.500000,17.500000,0.611111,
5024,Cliff Pondexter,1976.000000,12.800000,3.000000,0.500000,0.400000,0.100000,0.750000,3.300000,27.500000,17.500000,0.611111,
5025,Cliff Pondexter,1975.000000,17.700000,5.100000,1.200000,0.400000,0.300000,0.750000,5.800000,27.500000,17.500000,0.611111,
5026,Cliff Robinson,1991.000000,8.700000,2.100000,1.000000,0.600000,0.000000,0.800000,3.200000,6.000000,3.000000,0.666667,
5027,Cliff Robinson,1988.000000,29.700000,5.400000,2.300000,1.200000,0.100000,2.400000,15.100000,9.000000,5.000000,0.642857,
5028,Cliff Robinson,1987.000000,34.000000,6.500000,2.100000,1.300000,0.600000,2.600000,19.000000,30.000000,32.000000,0.483871,
5029,Cliff Robinson,1986.000000,28.800000,5.600000,1.600000,1.600000,0.500000,2.200000,14.800000,31.000000,24.000000,0.563636,
5030,Cliff Robinson,1985.000000,32.900000,8.700000,2.400000,1.300000,0.600000,2.600000,18.700000,37.000000,41.000000,0.474359,
5031,Cliff Robinson,1984.000000,31.200000,9.100000,2.500000,0.900000,0.800000,2.700000,16.700000,19.500000,23.000000,0.458824,
5032,Cliff Robinson,1983.000000,32.900000,10.300000,2.500000,0.700000,0.400000,2.600000,17.800000,19.500000,23.000000,0.458824,
5033,Cliff Robinson,1982.000000,33.800000,11.100000,1.900000,0.800000,0.800000,2.900000,18.000000,19.500000,23.000000,0.458824,
5034,Cliff Robinson,1981.000000,32.000000,9.000000,1.800000,1.300000,1.500000,2.200000,18.500000,19.500000,23.000000,0.458824,
5035,Cliff Robinson,1981.000000,31.500000,9.600000,1.600000,1.400000,1.400000,2.100000,16.300000,19.500000,23.000000,0.458824,
5036,Cliff Robinson,1981.000000,32.300000,8.500000,1.900000,1.200000,1.600000,2.300000,20.200000,19.500000,23.000000,0.458824,
5037,Cliff Robinson,1980.000000,28.900000,7.600000,1.700000,0.900000,0.800000,2.900000,19.500000,19.500000,23.000000,0.458824,
5038,Cliff Robinson,1979.000000,23.700000,7.200000,1.400000,0.900000,0.500000,2.000000,13.600000,19.500000,23.000000,0.458824,
